datetime,tokyo,saitama,kanagawa,chiba
2011/3/26,0,0,0,0
2011/3/27,0,0,0,0
2011/3/28,0,0,0,0
2011/3/29,0,0,0,0
2011/3/30,0,1,0,0
2011/3/31,0,0,0,0
2011/4/1,0,0,0,0
2011/4/2,0,0,0,0
2011/4/3,0,0,0,0
2011/4/4,0,0,0,0
2011/4/5,0,0,0,0
2011/4/6,0,0,0,0
2011/4/7,0,0,0,0
2011/4/8,0,0,0,0
2011/4/9,0.5,0,1.5,0
2011/4/10,0,0,0,0
2011/4/11,12,6.5,0,5.5
2011/4/12,0.5,0,0,0.5
2011/4/13,0,0,0,0
2011/4/14,0,0,0,0
2011/4/15,0,0,0,0
2011/4/16,0,0,0,0
2011/4/17,0,0,0,0
2011/4/18,0,0,0,0
2011/4/19,23,25.5,18,21
2011/4/20,0,0,0,0
2011/4/21,0,0,0,0
2011/4/22,0,0,0,0
2011/4/23,54,11.5,52.5,22.5
2011/4/24,0,0.5,0,0.5
2011/4/25,0,0.5,0,0
2011/4/26,0,0,0,0
2011/4/27,2,0,1,1.5
2011/4/28,4,0,4,1.5
2011/4/29,0,0,0,0
2011/4/30,0,0,0,0
2011/5/1,2,4,2,2.5
2011/5/2,0,0,0,0
2011/5/3,6,4,0.5,15.5
2011/5/4,0,0,0,0
2011/5/5,0,0,0,0
2011/5/6,0,0,0,0
2011/5/7,1,1.5,5,1.5
2011/5/8,0,0,0,0
2011/5/9,0,0,0,0
2011/5/10,1,1.5,17.5,5
2011/5/11,35,41,60,41.5
2011/5/12,15.5,11.5,20.5,18.5
2011/5/13,0,26.5,0,0.5
2011/5/14,0,0,0,0
2011/5/15,0,0,0,0
2011/5/16,0,0,0,0
2011/5/17,3.5,0,1,16
2011/5/18,0,0,0,0
2011/5/19,0,0,0,0
2011/5/20,0,0,0,0
2011/5/21,0,0,0,0
2011/5/22,13.5,28.5,10.5,12
2011/5/23,7,4.5,3,4.5
2011/5/24,20.5,22.5,23,18.5
2011/5/25,0,0,0,0
2011/5/26,0,2,0,0
2011/5/27,1,3.5,2.5,1
2011/5/28,24,22.5,32,20.5
2011/5/29,69.5,88.5,69,58
2011/5/30,14,25.5,5,11
2011/5/31,0,0,0,0
2011/6/1,0,0,0,0
2011/6/2,10,11.5,16.5,13.5
2011/6/3,0,0,0,0
2011/6/4,0,0,0,0
2011/6/5,5.5,31,1.5,0.5
2011/6/6,0,0,0,0.5
2011/6/7,0,0,0,0
2011/6/8,3,0,3.5,0.5
2011/6/9,0,0,0,0
2011/6/10,0,0,0,0
2011/6/11,35.5,16.5,81.5,43.5
2011/6/12,0,0,0,0
2011/6/13,29.5,20,39.5,42.5
2011/6/14,0,0,0,0.5
2011/6/15,0,0,0,0
2011/6/16,3.5,8.5,6,10
2011/6/17,21.5,13.5,19,16
2011/6/18,4.5,2,5,4.5
2011/6/19,0,0,0,0
2011/6/20,0,0,0.5,0
2011/6/21,1,2,1.5,1
2011/6/22,0,0,0,0
2011/6/23,0,0,0,0
2011/6/24,0,0,0,0
2011/6/25,0,5.5,0,0
2011/6/26,0,0,0.5,0
2011/6/27,1.5,0,1,1.5
2011/6/28,0,1,0,0
2011/6/29,0,0,0,0
2011/6/30,1,1.5,23,2.5
2011/7/1,0,0,0,1.5
2011/7/2,0,0,0,0
2011/7/3,0,0,0,0
2011/7/4,0,0,0,0
2011/7/5,5.5,3.5,0.5,1
2011/7/6,0,0,0,0
2011/7/7,0,1,0.5,0.5
2011/7/8,0,2,0,0
2011/7/9,0,0,0,0
2011/7/10,0,0,0,0
2011/7/11,0,0,0,0
2011/7/12,0,0,0,0
2011/7/13,0,0,0,0
2011/7/14,0,0,0,0
2011/7/15,0,0,0,0
2011/7/16,0,0,0,0
2011/7/17,0,0,0,0
2011/7/18,0,0,0,0
2011/7/19,3.5,60.5,8.5,28.5
2011/7/20,6,8,10,4.5
2011/7/21,3,0,8,0
2011/7/22,0,0,0,0
2011/7/23,0,0,0,0
2011/7/24,0,0,0,0
2011/7/25,0,0,0,0
2011/7/26,0,0,0,0
2011/7/27,0,0,0,0
2011/7/28,2.5,2.5,6,6
2011/7/29,5,8,2,3.5
2011/7/30,29,6.5,35,4.5
2011/7/31,0,1,0.5,0.5
2011/8/1,0,0,0,0
2011/8/2,0,0,0,0
2011/8/3,15.5,11.5,0,6.5
2011/8/4,4.5,4,0,4.5
2011/8/5,4.5,9,1,3
2011/8/6,0,8.5,0,0
2011/8/7,20,0,0,3.5
2011/8/8,0,0,0,0
2011/8/9,0,0,0,0
2011/8/10,0,0,0,0
2011/8/11,0,0,0,0
2011/8/12,0,0.5,0,0
2011/8/13,0,0,0,0
2011/8/14,0,0,0,0
2011/8/15,0,0,0,0
2011/8/16,0,0,0,0
2011/8/17,0,0,0,0
2011/8/18,0,0,0,0
2011/8/19,57,122.5,77,21
2011/8/20,0,0,2.5,0
2011/8/21,11,10.5,16.5,9.5
2011/8/22,26,27,26,23.5
2011/8/23,0,0.5,0.5,0
2011/8/24,0,1,2,0.5
2011/8/25,2.5,13,3.5,0.5
2011/8/26,88.5,7.5,22,22.5
2011/8/27,0.5,3,2,1
2011/8/28,0,0,0,0
2011/8/29,0,0,0,0
2011/8/30,4.5,4,9,10.5
2011/8/31,9.5,7,3,10
2011/9/1,2,7,7.5,2
2011/9/2,27,36,4,33.5
2011/9/3,19,1.5,0,4
2011/9/4,2,7,0,0
2011/9/5,15,17,21,2.5
2011/9/6,14.5,3,4,6
2011/9/7,0,0,0,0
2011/9/8,0,0,0,0
2011/9/9,0,0,0,0
2011/9/10,0,0,0,0
2011/9/11,0,0,0,23
2011/9/12,0,0,0,0
2011/9/13,0,0,0,0
2011/9/14,0,0,0,0
2011/9/15,0,0,0,0
2011/9/16,5,0,5.5,0
2011/9/17,0,4.5,0.5,0.5
2011/9/18,0,0,0,0
2011/9/19,0.5,0,1.5,0
2011/9/20,21,17,23,11.5
2011/9/21,124,149,139,97
2011/9/22,5,2.5,1.5,0.5
2011/9/23,0,0,0,0
2011/9/24,0,0,0,0
2011/9/25,0,0,0,0
2011/9/26,0,0,5,1.5
2011/9/27,0,0,0,0
2011/9/28,0,0,0,0
2011/9/29,0,0,0,0
2011/9/30,0,0,0,0
2011/10/1,0,0,0,0
2011/10/2,0,0,0,0
2011/10/3,0,0,0,0
2011/10/4,0,0,0,0
2011/10/5,53.5,54,51,73
2011/10/6,3,4,2.5,3.5
2011/10/7,1.5,0,0,0.5
2011/10/8,0,0,0,0
2011/10/9,0,1,8.5,2
2011/10/10,6,1.5,8.5,1.5
2011/10/11,0,0,0,0
2011/10/12,0,0,0,0
2011/10/13,0,0,0,0
2011/10/14,4,0.5,4,3
2011/10/15,2,14,1,1.5
2011/10/16,8,5,18.5,11.5
2011/10/17,0,0,0,0
2011/10/18,0,0,0,0
2011/10/19,0,0,0,0
2011/10/20,0,0,0,0
2011/10/21,4,2.5,3.5,3
2011/10/22,37.5,27.5,48.5,59.5
2011/10/23,0,0,1.5,0.5
2011/10/24,0,0.5,0.5,0.5
2011/10/25,0,0,0,0
2011/10/26,0,0,0,0
2011/10/27,0,0,0,0
2011/10/28,0,0,0,0
2011/10/29,0,0,0,0
2011/10/30,0,0,1,0
2011/10/31,0,0,0,0
2011/11/1,0,0,0,0
2011/11/2,0,0,0,0
2011/11/3,0,0,0,0
2011/11/4,0,0,0,0
2011/11/5,1.5,1,2.5,1
2011/11/6,7,3,8,7.5
2011/11/7,0,0,0,0.5
2011/11/8,1,0.5,5.5,6.5
2011/11/9,0,0,0,0
2011/11/10,0,0,0,0
2011/11/11,19,21.5,28,18.5
2011/11/12,0,0,0,0
2011/11/13,0,0,0,0
2011/11/14,5.5,0,5,1
2011/11/15,0.5,0.5,0,1.5
2011/11/16,0,0,0,0
2011/11/17,0,0,0,0
2011/11/18,0,0,0,1.5
2011/11/19,78,23.5,105,64
2011/11/20,0,2.5,0,5
2011/11/21,0,0,0.5,0
2011/11/22,0,0,0,0
2011/11/23,0,0,1,1.5
2011/11/24,0,0,0,0
2011/11/25,0,0,0,0
2011/11/26,0,0,0,0
2011/11/27,0,0,0,0
2011/11/28,0,0,0,0
2011/11/29,0,0,0,0
2011/11/30,0,0,0,0
2011/12/1,4.5,1,4.5,4
2011/12/2,1.5,1.5,4.5,2.5
2011/12/3,35,42,19.5,28
2011/12/4,0,0,0,0
2011/12/5,0,0,0,0
2011/12/6,9.5,2.5,13.5,13
2011/12/7,0,0,0,0
2011/12/8,3.5,3,3.5,2.5
2011/12/9,4,6.5,4.5,5
2011/12/10,0,0,0,0
2011/12/11,0,0,0,0
2011/12/12,0,0,0,0
2011/12/13,0,0,0,0
2011/12/14,1.5,0,1.5,2
2011/12/15,0,0,0,0
2011/12/16,0,0,0,0
2011/12/17,0,0,0,0
2011/12/18,0,0,0,0
2011/12/19,0,0,0,0
2011/12/20,0,0,0,0
2011/12/21,0,0,0,0
2011/12/22,0,0,0,0
2011/12/23,0,0,0,0
2011/12/24,0,0,0,0
2011/12/25,0,0,0,0
2011/12/26,0,0,0,0
2011/12/27,0,0,0,0
2011/12/28,0,0,0,0
2011/12/29,0,0,0,0
2011/12/30,0,0,0,0
2011/12/31,0,0,0,0
2012/1/1,0,0,0,0
2012/1/2,0,0,0,0
2012/1/3,0,0,0,0
2012/1/4,0,0,0,0
2012/1/5,0,0,0,0
2012/1/6,0,0,0,0
2012/1/7,0,0,0,0
2012/1/8,0,0,0,0
2012/1/9,0,0,0,0
2012/1/10,0,0,0,0
2012/1/11,0,0,0,0
2012/1/12,0,0,0,0
2012/1/13,0,0,0,0
2012/1/14,0,0,0,0
2012/1/15,0,0,0,0
2012/1/16,0,0,0,0
2012/1/17,0,0,0,0
2012/1/18,0,0,0,0
2012/1/19,0,0.5,0,0
2012/1/20,9,14,8,13
2012/1/21,15,16.5,9.5,11
2012/1/22,3,1.5,4,12.5
2012/1/23,22.5,17,3,17.5
2012/1/24,0.5,0,0,0.5
2012/1/25,0,0,0,0
2012/1/26,0,0,0,0
2012/1/27,0,0,0,0
2012/1/28,0,0,0,0
2012/1/29,0,0,0,0
2012/1/30,0,0,0,0
2012/1/31,0,0,0,0
2012/2/1,0,0,0,0
2012/2/2,0,0,0,0
2012/2/3,0,0,0,0
2012/2/4,0,0,0,0
2012/2/5,0,0,0,0
2012/2/6,4,3,7.5,5
2012/2/7,28.5,19.5,46.5,32.5
2012/2/8,0,0,0,0
2012/2/9,0,0,0,0
2012/2/10,0,0,0,0
2012/2/11,0,0,0,0
2012/2/12,0,0,0,0
2012/2/13,0,0,0,0
2012/2/14,3.5,3,3,5.5
2012/2/15,0,0,0,0
2012/2/16,1,0,0,1
2012/2/17,2,1,2.5,4
2012/2/18,0.5,0,0,0.5
2012/2/19,0,0,0,0
2012/2/20,0,0,0,0
2012/2/21,0,0,0,0
2012/2/22,0,0,0,0
2012/2/23,17,12,35,16
2012/2/24,0,0,0,0
2012/2/25,19,13.5,18.5,12.5
2012/2/26,0,0,0,0
2012/2/27,0,0,0,0
2012/2/28,0,0,0,0
2012/2/29,18.5,18.5,16,11.5
2012/3/1,0,0,0,0
2012/3/2,10,10,17,13
2012/3/3,0.5,0,0,0.5
2012/3/4,0.5,2,0.5,0
2012/3/5,37,33,42.5,29.5
2012/3/6,3,1,12,4.5
2012/3/7,0,0,0,0
2012/3/8,0,0,1,1.5
2012/3/9,26.5,25.5,30.5,24.5
2012/3/10,19.5,13,18.5,12.5
2012/3/11,0,0,0,0
2012/3/12,0,0,0,0
2012/3/13,0,0,0,0
2012/3/14,0,0,0,0
2012/3/15,0,0,0,0
2012/3/16,0,0,0,0
2012/3/17,24,3,56,17.5
2012/3/18,1,0,1,2
2012/3/19,0,0.5,0,0
2012/3/20,0,0,0,0
2012/3/21,0,0,0,0
2012/3/22,0,0,0,0
2012/3/23,11,6.5,19.5,10
2012/3/24,3.5,1.5,6,4.5
2012/3/25,0,0,0,0
2012/3/26,0,0,0,0
2012/3/27,0,0,0,0
2012/3/28,0,0,0.5,0
2012/3/29,0,0,0,0
2012/3/30,0,0,0,0
2012/3/31,8,15,12,10.5
2012/4/1,0,0,0,0
2012/4/2,0,0,0,0
2012/4/3,21.5,17,40,13.5
2012/4/4,0,0,0,0
2012/4/5,0,0,0,0
2012/4/6,0.5,0,0.5,1
2012/4/7,0,0,0,0
2012/4/8,0,0,0,0
2012/4/9,0,0,0,0
2012/4/10,0,0,0,0
2012/4/11,16,5,30,17.5
2012/4/12,0,0,0,0
2012/4/13,4,13.5,2,5
2012/4/14,32,33,34,35.5
2012/4/15,0,0.5,0,0
2012/4/16,0,0,0,0
2012/4/17,1.5,3.5,0.5,5.5
2012/4/18,0,0,0,0
2012/4/19,0,0,0,0
2012/4/20,0,0,0,0
2012/4/21,0,0,0,0
2012/4/22,5.5,6,9.5,7
2012/4/23,9,7,25,15
2012/4/24,1,1,22.5,1.5
2012/4/25,0,0,0,0
2012/4/26,1,2,3,3
2012/4/27,26.5,18,35,27.5
2012/4/28,0,0.5,0,0.5
2012/4/29,0,0,0,0
2012/4/30,0,0,0,0
2012/5/1,0.5,0,1,1
2012/5/2,37,29,43,29.5
2012/5/3,121.5,101.5,103.5,33
2012/5/4,5,4.5,8.5,2.5
2012/5/5,0,0,0,0
2012/5/6,1,3,0,0
2012/5/7,0,0,0,0
2012/5/8,0,0,0,0
