iter	Passed	Remaining
704	134997	439460
705	135190	439272
706	135377	439068
707	135558	438842
708	135753	438661
709	135948	438483
710	136128	438254
711	136312	438036
712	136496	437822
713	136683	437617
714	136873	437420
715	137053	437194
716	137236	436975
717	137429	436787
718	137629	436624
719	137823	436439
720	138018	436260
721	138207	436060
722	138395	435859
723	138580	435649
724	138779	435481
725	138964	435268
726	139146	435048
727	139337	434854
728	139528	434663
729	139731	434508
730	139926	434325
731	140114	434125
732	140308	433942
733	140508	433777
734	140693	433566
735	140886	433379
736	141073	433175
737	141260	432968
738	141459	432800
739	141645	432593
740	141845	432428
741	142035	432232
742	142217	432013
743	142410	431825
744	142603	431638
745	142821	431527
746	143015	431344
747	143202	431138
748	143388	430932
749	143578	430736
750	143776	430563
751	143956	430339
752	144133	430103
753	144330	429929
754	144519	429729
755	144717	429558
756	144907	429362
757	145098	429170
758	145292	428986
759	145484	428797
760	145673	428596
761	145895	428497
762	146083	428294
763	146274	428102
764	146454	427875
765	146652	427704
766	146839	427500
767	147031	427309
768	147223	427120
769	147409	426914
770	147600	426719
771	147783	426505
772	147973	426308
773	148165	426119
774	148347	425900
775	148539	425709
776	148729	425514
777	148929	425349
778	149121	425159
779	149310	424959
780	149495	424750
781	149677	424532
782	149861	424320
783	150049	424118
784	150237	423919
785	150432	423737
786	150618	423531
787	150800	423314
788	151001	423147
789	151185	422936
790	151376	422744
791	151560	422532
792	151754	422347
793	151944	422154
794	152141	421976
795	152337	421798
796	152515	421570
797	152719	421413
798	152916	421239
799	153099	421022
800	153279	420802
801	153468	420603
802	153641	420361
803	153837	420184
804	154025	419982
805	154213	419781
806	154395	419566
807	154590	419383
808	154793	419223
809	154990	419049
810	155198	418902
811	155385	418698
812	155575	418503
813	155766	418310
814	155949	418098
815	156143	417914
816	156335	417723
817	156522	417520
818	156709	417319
819	156897	417118
820	157088	416926
821	157288	416758
822	157482	416572
823	157672	416377
824	157864	416187
825	158049	415980
826	158236	415777
827	158425	415580
828	158626	415413
829	158832	415260
830	159044	415123
831	159226	414908
832	159410	414697
833	159592	414480
834	159780	414281
835	159977	414104
836	160170	413916
837	160365	413734
838	160558	413548
839	160755	413370
840	160944	413175
841	161135	412980
842	161330	412800
843	161526	412619
844	161707	412401
845	161903	412222
846	162098	412040
847	162289	411848
848	162480	411654
849	162669	411458
850	162847	411233
851	163043	411052
852	163235	410863
853	163429	410678
854	163617	410478
855	163809	410288
856	163989	410069
857	164183	409884
858	164375	409695
859	164576	409528
860	164770	409343
861	164960	409147
862	165159	408974
863	165351	408785
864	165548	408608
865	165744	408428
866	165934	408232
867	166117	408020
868	166305	407822
869	166507	407657
870	166688	407440
871	166872	407231
872	167071	407058
873	167264	406869
874	167461	406693
875	167649	406492
876	167842	406304
877	168033	406113
878	168219	405907
879	168399	405689
880	168593	405504
881	168795	405339
882	168982	405137
883	169158	404907
884	169352	404722
885	169542	404528
886	169738	404349
887	169927	404151
888	170122	403970
889	170308	403764
890	170501	403578
891	170706	403417
892	170906	403247
893	171088	403033
894	171272	402824
895	171455	402614
896	171644	402418
897	171823	402196
898	172024	402028
899	172218	401843
900	172408	401647
901	172602	401462
902	172794	401273
903	172990	401094
904	173169	400873
905	173363	400688
906	173557	400503
907	173749	400313
908	173940	400120
909	174125	399914
910	174313	399715
911	174504	399524
912	174687	399313
913	174876	399117
914	175056	398898
915	175242	398694
916	175432	398501
917	175617	398295
918	175815	398119
919	176000	397914
920	176207	397758
921	176400	397571
922	176589	397373
923	176771	397162
924	176958	396960
925	177141	396751
926	177335	396565
927	177524	396369
928	177717	396181
929	177894	395958
930	178082	395760
931	178270	395561
932	178447	395337
933	178640	395150
934	178825	394945
935	179019	394760
936	179209	394567
937	179395	394364
938	179586	394171
939	179797	394024
940	179983	393822
941	180166	393612
942	180362	393430
943	180551	393235
944	180748	393055
945	180948	392883
946	181126	392664
947	181305	392445
948	181501	392265
949	181709	392110
950	181895	391907
951	182074	391688
952	182264	391495
953	182476	391349
954	182683	391190
